Dimension,Lite+ Variant A: 39% Bonus Paid,Lite+ Variant B: 39% Bonus Removed
Bonus treatment,39% BDAG / 61% non-circulating,61% BDAG / 39% removed
Effective bonus supply,Low–moderate,High
TGE pressure,Low,Medium
Early liquidity,Controlled,High
ROI impact vs 25% model,+12–18%,+25–35%
Risk-adjusted ROI rank,1st,2nd–3rd
Pure ROI rank,Top-3,Top-1–2
Crash resilience,High,Medium
Queue activation frequency,Low,Higher
Audit / design robustness,Very high,Medium–high
Recommended usage,Public / Default,Aggressive / Optional
